City,Country,Population,Area,country population,country area,country density,growth rate,2009 growth rate,2005-2010 growth rate,2010-2015 growth rate,2015-2020 growth rate
Ghazni,Afghanistan,190400,,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Herat,Afghanistan,592900,182.0,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Jalalabad,Afghanistan,280600,122.0,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Kabul,Afghanistan,4601700,1028.24,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Kandahar,Afghanistan,651400,273.37,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Khost,Afghanistan,160200,,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Kunduz,Afghanistan,268800,112.0,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Lashkargah,Afghanistan,201500,384.0,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Mazar-i-Sharif,Afghanistan,500200,83.0,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Mihtarlam,Afghanistan,144100,,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Puli Khumri,Afghanistan,221200,,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Sar-e Pol,Afghanistan,164600,,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Sheberghan,Afghanistan,175500,,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Taloqan,Afghanistan,196400,,40099462.0,652864.0,61.0,2.26,2.44,2.78,3.16,2.41
Durrës,Albania,175100,338.3,2854710.0,28748.0,99.0,0.19,0.26,-0.92,-0.12,0.13
Elbasan,Albania,141700,872.03,2854710.0,28748.0,99.0,0.19,0.26,-0.92,-0.12,0.13
Fier,Albania,120100,619.9,2854710.0,28748.0,99.0,0.19,0.26,-0.92,-0.12,0.13
Kamëz,Albania,104100,37.2,2854710.0,28748.0,99.0,0.19,0.26,-0.92,-0.12,0.13
